iata,name,lat,lon
ACE,Lanzarote,28.9455,-13.6052
AGP,Malaga,36.6749,-4.4991
ALC,Alicante,38.2822,-0.5582
AMM,Amman,31.7226,35.9932
AMS,Amsterdam,52.3086,4.7639
ARN,Stockholm,59.6519,17.9186
ATH,Athens,37.9364,23.9445
ATL,Atlanta,33.6367,-84.4281
BCN,Barcelona,41.2971,2.0785
BIO,Bilbao,43.301,-2.9106
BOG,Bogota,4.7016,-74.1469
BOS,Boston,42.3656,-71.0096
BRU,Brussels,50.9014,4.4844
BUD,Budapest,47.4298,19.2611
CAI,Cairo,30.1219,31.4056
CCS,Caracas,10.6031,-66.9913
CDG,Paris CDG,49.0097,2.5479
CMN,Casablanca,33.3675,-7.5898
CPH,Copenhagen,55.618,12.6508
CUZ,Cusco,-13.5357,-71.9388
DFW,Dallas,32.8998,-97.0403
DKR,Dakar,14.7397,-17.4902
DME,Moscow Domodedovo,55.4088,37.9063
DUB,Dublin,53.4213,-6.2701
DUS,Dusseldorf,51.2895,6.7668
EAS,San Sebastian,43.3565,-1.7906
EDI,Edinburgh,55.95,-3.3725
EZE,Buenos Aires,-34.8222,-58.5358
FCO,Rome,41.8003,12.2389
FRA,Frankfurt,50.0333,8.5706
FUE,Fuerteventura,28.4527,-13.8638
GIG,Rio de Janeiro,-22.8099,-43.2505
GRU,Sao Paulo,-23.4356,-46.4731
GRX,Granada,37.1887,-3.7774
GVA,Geneva,46.238,6.1089
GYE,Guayaquil,-2.1574,-79.8836
HAV,Havana,22.9892,-82.4091
HEL,Helsinki,60.3172,24.9633
IAD,Washington Dulles,38.9531,-77.4565
IBZ,Ibiza,38.8729,1.3731
IST,Istanbul,41.2753,28.7519
JFK,New York JFK,40.6413,-73.7781
JNB,Johannesburg,-26.1367,28.2411
KBP,Kiev,50.345,30.8947
LAS,Las Vegas,36.084,-115.1537
LAX,Los Angeles,33.9425,-118.4081
LCG,La Coruna,43.3021,-8.3771
LEI,Almeria,36.8439,-2.3701
LGW,London Gatwick,51.1481,-0.1903
LHR,London Heathrow,51.4775,-0.4614
LIM,Lima,-12.0219,-77.1143
LIN,Milan Linate,45.4454,9.2767
LIS,Lisbon,38.7813,-9.1359
LOS,Lagos,6.5774,3.3214
LPA,Las Palmas,27.9319,-15.3866
LYS,Lyon,45.7256,5.0811
MAD,Madrid,40.4719,-3.5626
MAH,Menorca,39.8626,4.2186
MAN,Manchester,53.3537,-2.275
MCO,Orlando,28.4294,-81.3089
MEX,Mexico City,19.4363,-99.0721
MIA,Miami,25.7959,-80.287
MLN,Melilla,35.2799,-2.9562
MRS,Marseille,43.4393,5.2214
MSP,Minneapolis,44.8848,-93.2223
MUC,Munich,48.3537,11.775
MXP,Milan Malpensa,45.6306,8.7281
NCE,Nice,43.6584,7.2159
OPO,Porto,41.2481,-8.6814
ORD,Chicago,41.9742,-87.9073
ORY,Paris Orly,48.7233,2.3794
OTP,Bucharest,44.5711,26.085
OVD,Asturias,43.5636,-6.0346
PMI,Palma de Mallorca,39.5517,2.7388
PNA,Pamplona,42.77,-1.6465
PRG,Prague,50.1008,14.26
RAK,Marrakech,31.6069,-8.0363
SCQ,Santiago Compostela,42.8963,-8.4151
SDQ,Santo Domingo,18.4297,-69.6689
SDR,Santander,43.4271,-3.82
SFO,San Francisco,37.6213,-122.379
SOF,Sofia,42.6952,23.4114
SVO,Moscow Sheremetyevo,55.9726,37.4147
SVQ,Seville,37.418,-5.8931
TFN,Tenerife Norte,28.4827,-16.3415
TFS,Tenerife Sur,28.0445,-16.5725
TLS,Toulouse,43.6293,1.3678
TLV,Tel Aviv,32.0114,34.8867
TNG,Tangier,35.7269,-5.9169
TXL,Berlin Tegel,52.5597,13.2877
UIO,Quito,-0.1292,-78.3575
VCE,Venice,45.5053,12.3519
VGO,Vigo,42.2318,-8.6277
VIE,Vienna,48.1103,16.5697
VLC,Valencia,39.4893,-0.4816
WAW,Warsaw,52.1657,20.9671
XRY,Jerez,36.7446,-6.06
YYZ,Toronto,43.6772,-79.6306
ZRH,Zurich,47.4647,8.5492
