Destino,Nombre,Dist_km,Trans,Avion,Cap_pax,TT_min,Dem_MAD_dest,Dem_dest_MAD,Dem_total_sem,Precio_EUR_pax,Ingreso_sem_EUR,Coste_op_sem_EUR,Margen_sem_EUR,Rev_pax_EUR,Cost_pax_EUR,Margen_pax_EUR,Margen_pct
JFK,New York JFK,5762,True,B350,320,482.2,703.3,711.4,1414.7,320.88,453948,350995,102953,320.88,248.11,72.77,22.7
BCN,Barcelona,483,False,A321,171,86.2,3595.0,3596.5,7191.5,74.01,532218,436332,95887,74.01,60.67,13.33,18.0
EZE,Buenos Aires,10085,True,B350,320,806.4,553.5,550.6,1104.2,494.24,545697,458193,87505,494.21,414.96,79.25,16.0
LHR,London Heathrow,1247,False,A321,171,143.5,1132.7,1137.0,2269.7,139.51,316648,229206,87442,139.51,100.98,38.53,27.6
MEX,Mexico City,9067,True,B350,320,730.0,440.9,441.6,882.5,444.63,392410,331533,60877,444.63,375.65,68.98,15.5
BIO,Bilbao,319,False,A321,171,73.9,849.3,849.2,1698.5,79.18,134485,88374,46111,79.18,52.03,27.15,34.3
GRU,Sao Paulo,8378,True,B350,320,678.3,209.0,209.8,418.8,451.78,189184,146171,43014,451.77,349.05,102.72,22.7
LIM,Lima,9526,True,B350,320,764.5,432.1,431.7,863.8,437.57,377982,339813,38168,437.57,393.38,44.19,10.1
VLC,Valencia,284,False,A321,171,71.3,773.3,769.6,1542.9,71.01,109558,77439,32119,71.01,50.19,20.82,29.3
BRU,Brussels,1316,False,A321,171,148.7,626.0,624.9,1250.9,122.1,152736,130866,21870,122.1,104.62,17.48,14.3
ORY,Paris Orly,1030,False,A321,171,127.3,1165.3,1118.7,2284.0,96.36,220171,204562,15610,96.4,89.56,6.83,7.1
LIS,Lisbon,513,False,A321,171,88.5,1110.2,1124.8,2235.0,68.45,152975,139137,13838,68.45,62.25,6.19,9.0
MXP,Milan Malpensa,1150,False,A321,171,136.2,635.8,632.3,1268.1,101.85,129167,121575,7592,101.86,95.87,5.99,5.9
SVQ,Seville,395,False,A321,171,79.6,181.6,181.7,363.3,66.36,24108,20354,3754,66.36,56.02,10.33,15.6
IBZ,Ibiza,458,False,A321,171,84.4,755.2,756.0,1511.2,59.69,90205,89718,487,59.69,59.37,0.32,0.5
AGP,Malaga,430,False,A321,171,82.2,454.9,454.5,909.4,57.74,52512,52637,-125,57.74,57.88,-0.14,-0.2
MAH,Menorca,664,False,A321,171,99.8,395.2,395.2,790.4,65.14,51482,55524,-4042,65.14,70.25,-5.11,-7.9
MUC,Munich,1496,False,A321,171,162.2,428.2,428.1,856.3,104.22,89245,97749,-8504,104.22,114.15,-9.93,-9.5
FRA,Frankfurt,1422,False,A321,171,156.7,591.7,590.5,1182.2,102.18,120806,130326,-9520,102.18,110.24,-8.05,-7.9
AMS,Amsterdam,1461,False,A321,171,159.5,617.8,618.1,1235.9,102.77,127010,138764,-11754,102.77,112.28,-9.51,-9.3
PMI,Palma de Mallorca,546,False,A321,171,91.0,1974.2,1972.0,3946.3,59.21,233665,252610,-18945,59.21,64.01,-4.8,-8.1
FCO,Rome,1330,False,A321,171,149.7,1141.1,1131.4,2272.5,96.31,218846,239426,-20579,96.3,105.36,-9.06,-9.4
LPA,Las Palmas,1765,False,A321,171,182.4,1333.5,1333.9,2667.4,108.9,290477,342279,-51802,108.9,128.32,-19.42,-17.8
TFN,Tenerife Norte,1771,False,A321,171,182.8,1301.1,1291.4,2592.5,107.03,277469,333495,-56025,107.03,128.64,-21.61,-20.2
