airport,profitable_markets_count,potential_profit_week,potential_revenue_week,origin_profitable_markets,destination_profitable_markets,origin_potential_profit_week,destination_potential_profit_week
MAD,15,62950.50889041932,744196.4013652274,6,9,30600.826217516198,32349.682672903124
BCN,12,23923.069657485546,287530.37200238544,6,6,12251.7750771426,11671.294580342947
JFK,2,16480.914945661083,182420.27804721432,1,1,8299.130937791782,8181.784007869301
LHR,4,16143.272613031879,115810.43938326702,2,2,7486.705520730941,8656.567092300938
PMI,8,13083.354451045201,76401.07037245054,4,4,6537.948436475216,6545.406014569986
BIO,6,12669.014197580931,86528.82513223091,3,3,6347.121516403455,6321.892681177475
GRU,2,10051.11739709683,112055.95947379104,1,1,4292.169810668264,5758.947586428565
VLC,6,7220.902700324303,47452.41740104599,3,3,3352.9404454670826,3867.9622548572192
MAH,4,6601.280508489742,34102.223254701494,2,2,3293.3079048221157,3307.9726036676266
IBZ,6,6102.892893653644,43064.106509532205,3,3,3051.343597910528,3051.549295743116
EZE,1,3438.911121391227,101691.917710731,1,0,3438.911121391227,0.0
MEX,1,697.5977550767162,51583.20904777409,1,0,697.5977550767162,0.0
MXP,2,654.255075818482,32320.28192575705,1,1,324.9686387032464,329.2864371152356
SVQ,1,67.59824687615833,3588.136535814906,1,0,67.59824687615833,0.0
AGP,0,0.0,0.0,0,0,0.0,0.0
AMS,0,0.0,0.0,0,0,0.0,0.0
BRU,0,0.0,0.0,0,0,0.0,0.0
FCO,0,0.0,0.0,0,0,0.0,0.0
FRA,0,0.0,0.0,0,0,0.0,0.0
LIM,0,0.0,0.0,0,0,0.0,0.0
LIS,0,0.0,0.0,0,0,0.0,0.0
LPA,0,0.0,0.0,0,0,0.0,0.0
MUC,0,0.0,0.0,0,0,0.0,0.0
ORY,0,0.0,0.0,0,0,0.0,0.0
TFN,0,0.0,0.0,0,0,0.0,0.0
