file,lam,budget,obj_val,objective_gain,used_budget,comp_time,best_regular_obj_val,best_regular_series,delta_vs_best_regular,improvement_vs_best_regular_pct,baseline_mu0_obj_val,baseline_mu0_series,delta_vs_mu0,improvement_vs_mu0_pct,rank_in_budget_lam
bud=1.00e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,10000.0,0.0,-0.0,0.0,6251.72574086301,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,1
bud=2.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,25000.0,0.0,-0.0,0.0,6562.193059407175,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,1
bud=5.00e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,50000.0,0.0,-0.0,0.0,10084.470542268828,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,0.0,mu_al=0e+00 | mu_b=0e+00,0.0,0.0,1
bud=7.50e+04_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,75000.0,-19173.231835563725,19173.231835563725,75645.67710903716,10463.550468107685,-24287.793347900646,mu_al=1e-08 | mu_b=1e-03 | bliters=3,-5114.561512336921,-21.0581564124639,2937.6134195791365,mu_al=0e+00 | mu_b=0e+00,22110.845255142864,752.680564017529,2
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,100000.0,-39386.66960681701,39386.66960681701,100473.29443826752,10158.910741711035,-39263.06208210962,mu_al=1e-07 | mu_b=5e-03,123.60752470738953,0.3148188606606712,-9995.190979300198,mu_al=0e+00 | mu_b=0e+00,29391.478627516815,294.056198509722,1
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,150000.0,-47492.98441133875,47492.98441133875,132653.28438134422,10751.745427384973,-34893.839815205196,mu_al=1e-07 | mu_b=5e-03,12599.144596133556,36.10707409347195,-22309.195818870387,mu_al=0e+00 | mu_b=0e+00,25183.788592468365,112.88523708759813,1
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,200000.0,-63055.41642097919,63055.41642097919,201297.92597646013,11815.87911468558,-61854.350859797385,mu_al=1e-07 | mu_b=5e-03,1201.0655611818074,1.9417640707348323,64332.60842971504,mu_al=0e+00 | mu_b=0e+00,127388.02485069423,198.0147050773929,1
bud=2.50e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,250000.0,-65595.85006973532,65595.85006973532,230928.4312908055,11180.825594842434,-65595.85006973532,mu_al=1e-07 | mu_b=5e-03,0.0,0.0,59850.591426157276,mu_al=0e+00 | mu_b=0e+00,125446.44149589259,209.59933478797188,1
bud=3.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,300000.0,-70250.86976193741,70250.86976193741,290092.62070711213,12335.34927601926,-56864.815286828554,mu_al=1e-07 | mu_b=5e-03,13386.05447510886,23.540135332523338,55413.640859147534,mu_al=0e+00 | mu_b=0e+00,125664.51062108495,226.77540885736727,1
bud=5.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,500000.0,-72598.38473078841,72598.38473078841,394257.7423609234,12387.115655677393,-59448.592386546195,mu_al=1e-07 | mu_b=5e-03,13149.792344242218,22.11960252774319,52554.53801261622,mu_al=0e+00 | mu_b=0e+00,125152.92274340463,238.1391359835767,1
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,1000000.0,-72780.44439059333,72780.44439059333,394285.16355048976,12384.784212756902,-60991.326850843034,mu_al=1e-07 | mu_b=5e-03,11789.117539750296,19.329170471370627,52553.541401874274,mu_al=0e+00 | mu_b=0e+00,125333.9857924676,238.48818262130985,1
bud=5.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python_longrun.mat,10.0,5000000.0,-72582.38953236351,72582.38953236351,394278.9346320652,12364.519228711724,-59427.53572634177,mu_al=1e-07 | mu_b=5e-03,13154.85380602174,22.135957086624977,52553.1546637679,mu_al=0e+00 | mu_b=0e+00,125135.5441961314,238.11233597058356,1
